id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
317774,ZSYA,medium_airport,Yangzhou Taizhou Airport,32.5634,119.7198,7,AS,CN,CN-32,Yangzhou,yes,ZSYA,YTY,ZSYA,,http://www.yztzairport.net/,https://en.wikipedia.org/wiki/Yangzhou_Taizhou_Airport,Yangtai Airport
315853,ZSYC,medium_airport,Yichun Mingyueshan Airport,27.8025,114.3062,430,AS,CN,CN-36,Yichun,yes,ZSYC,YIC,ZSYC,,,https://en.wikipedia.org/wiki/Yichun_Mingyueshan_Airport,
35316,ZSYN,medium_airport,Yancheng Nanyang International Airport,33.425833,120.203056,10,AS,CN,CN-32,Yancheng (Tinghu),yes,ZSYN,YNZ,ZSYN,,,https://en.wikipedia.org/wiki/Yancheng_Nanyang_International_Airport,
332096,ZSYT,large_airport,Yantai Penglai International Airport,37.659724,120.978124,154,AS,CN,CN-37,Yantai,yes,ZSYT,YNT,ZSYT,,http://www.ytairport.com.cn/,https://en.wikipedia.org/wiki/Yantai_Penglai_International_Airport,
32726,ZSYW,medium_airport,Yiwu Airport,29.342095,120.03116,262,AS,CN,CN-33,Jinhua (Yiwu),yes,ZSYW,YIW,ZSYW,,,https://en.wikipedia.org/wiki/Yiwu_Airport,
31624,ZSZS,medium_airport,Zhoushan Putuoshan Airport,29.9342,122.362,3,AS,CN,CN-33,Zhoushan,yes,ZSZS,HSN,ZSZS,,,https://en.wikipedia.org/wiki/Zhoushan_Putuoshan_Airport,
300545,ZUAL,medium_airport,Ngari Gunsa Airport,32.09794,80.053971,14022,AS,CN,CN-54,Shiquanhe,yes,ZUAL,NGQ,ZUAL,,,https://en.wikipedia.org/wiki/Ngari_Gunsa_Airport,Ali Airport
300785,ZUAS,medium_airport,Anshun Huangguoshu Airport,26.260556,105.873333,4812,AS,CN,CN-52,Anshun (Xixiu),yes,ZUAS,AVA,ZUAS,,,https://en.wikipedia.org/wiki/Anshun_Huangguoshu_Airport,
30788,ZUBD,medium_airport,Qamdo Bangda Airport,30.55360031,97.10829926,14219,AS,CN,CN-54,Bangda,yes,ZUBD,BPX,ZUBD,,,https://en.wikipedia.org/wiki/Bangda_Airport,
318169,ZUBJ,medium_airport,Bijie Feixiong Airport,27.267066,105.472097,4751,AS,CN,CN-52,Bijie,yes,ZUBJ,BFJ,ZUBJ,,,https://en.wikipedia.org/wiki/Bijie_Feixiong_Airport,
27228,ZUCK,large_airport,Chongqing Jiangbei International Airport,29.712254,106.651895,1365,AS,CN,CN-50,Chongqing,yes,ZUCK,CKG,ZUCK,,,https://en.wikipedia.org/wiki/Chongqing_Jiangbei_International_Airport,
352223,ZUDA,medium_airport,Dazhou Jinya Airport,31.048815,107.435646,1342,AS,CN,CN-51,Dazhou (Dachuan),yes,ZUDA,DZH,ZUDA,,,https://en.wikipedia.org/wiki/Dazhou_Jinya_Airport,
327348,ZUDC,medium_airport,Daocheng Yading Airport,29.31632,100.060317,14472,AS,CN,CN-51,Garzê (Daocheng),yes,ZUDC,DCY,ZUDC,,,https://en.wikipedia.org/wiki/Daocheng_Yading_Airport,
35307,ZUDX,small_airport,Dachuan Airport,31.1302,107.4295,,AS,CN,CN-51,Dazhou (Daxian),yes,ZUDX,DAX,ZUDX,,,https://en.wikipedia.org/wiki/Daxian_Airport,Daxian
308739,ZUGH,small_airport,Guanghan Airport,30.9485,104.3296,1531,AS,CN,CN-51,Deyang (Guanghan),no,ZUGH,GHN,ZUGH,,,https://en.wikipedia.org/wiki/Guanghan_Airport,Civil Aviation Flight University of China
31562,ZUGU,medium_airport,Guangyuan Panlong Airport,32.390254,105.694571,,AS,CN,CN-51,Guangyuan (Lizhou),yes,ZUGU,GYS,ZUGU,,,https://en.wikipedia.org/wiki/Guangyuan_Airport,
336107,ZUGZ,small_airport,Garze Gesar Airport,31.7575,99.554167,13346,AS,CN,CN-51,Garzê (Garzê),yes,ZUGZ,GZG,ZUGZ,GZG,,https://en.wikipedia.org/wiki/Garze_Gesar_Airport,"Ganzi, Garzê"
312371,ZUHY,medium_airport,Hongyuan Airport,32.53154,102.35224,11600,AS,CN,CN-51,Ngawa (Hongyuan),no,ZUHY,AHJ,ZUHY,,,https://en.wikipedia.org/wiki/Hongyuan_Airport,Aba
300512,ZUJZ,medium_airport,Jiuzhai Huanglong Airport,32.853333,103.682222,11327,AS,CN,CN-51,Ngawa (Songpan),yes,ZUJZ,JZH,ZUJZ,,,https://en.wikipedia.org/wiki/Jiuzhai_Huanglong_Airport,Aba
327350,ZUKD,medium_airport,Kangding Airport,30.142464,101.73872,14042,AS,CN,CN-51,Garzê (Kangding),yes,ZUKD,KGT,ZUKD,,,https://en.wikipedia.org/wiki/Kangding_Airport,
327351,ZULB,small_airport,Libo Airport,25.4525,107.961667,,AS,CN,CN-52,Qiannan (Libo),yes,ZULB,LLB,ZULB,,,https://en.wikipedia.org/wiki/Libo_Airport,
31819,ZULP,small_airport,Liangping Airport,30.679399,107.786003,,AS,CN,CN-50,Liangping,no,ZULP,LIA,ZULP,,,https://en.wikipedia.org/wiki/Liangping_Airport,
31867,ZULS,medium_airport,Lhasa Gonggar Airport,29.298001,90.911951,11713,AS,CN,CN-54,Shannan (Gonggar),yes,ZULS,LXA,ZULS,,,https://en.wikipedia.org/wiki/Lhasa_Gonggar_Airport,
336114,ZULZ,medium_airport,Luzhou Yunlong Airport,29.030357,105.468407,,AS,CN,CN-51,Luzhou (Yunlong),yes,ZULZ,LZO,ZULZ,,,https://en.wikipedia.org/wiki/Luzhou_Yunlong_Airport,
327355,ZUMT,medium_airport,Zunyi Maotai Airport,27.961837,106.435416,4068,AS,CN,CN-52,Zunyi,yes,ZUMT,WMT,ZUMT,,,https://en.wikipedia.org/wiki/Zunyi_Maotai_Airport,
31908,ZUMY,medium_airport,Mianyang Nanjiao Airport,31.428101,104.740997,7874,AS,CN,CN-51,Mianyang (Fucheng),yes,ZUMY,MIG,ZUMY,,,https://en.wikipedia.org/wiki/Mianyang_Airport,
32003,ZUNC,small_airport,Nanchong Gaoping Airport,30.798104,106.16415,1145,AS,CN,CN-51,Nanchong (Gaoping),yes,ZUNC,NAO,ZUNC,,,https://en.wikipedia.org/wiki/Nanchong_Airport,
308782,ZUNP,medium_airport,Liping Airport,26.32217,109.1499,1620,AS,CN,CN-52,Liping,yes,ZUNP,HZH,ZUNP,,,https://en.wikipedia.org/wiki/Liping_Airport,
31876,ZUNZ,medium_airport,Nyingchi Mainling Airport,29.303301,94.335297,9675,AS,CN,CN-54,Nyingchi (Mainling),yes,ZUNZ,LZY,ZUNZ,,,https://en.wikipedia.org/wiki/Nyingchi_Airport,"Linzhi, Kang Ko"
327352,ZUPS,medium_airport,Liupanshui Yuezhao Airport,26.609417,104.979,,AS,CN,CN-52,Liupanshui (Zhongshan),yes,ZUPS,LPF,ZUPS,,,https://en.wikipedia.org/wiki/Liupanshui_Yuezhao_Airport,
300865,ZUQJ,medium_airport,Qianjiang Wulingshan Airport,29.51333333,108.8311111,2075,AS,CN,CN-50,Qianjiang,yes,ZUQJ,JIQ,ZUQJ,,,https://en.wikipedia.org/wiki/Qianjiang_Wulingshan_Airport,Zhoubai
342095,ZUTF,large_airport,Chengdu Tianfu International Airport,30.31252,104.441284,1440,AS,CN,CN-51,Chengdu (Jianyang),yes,ZUTF,TFU,ZUTF,,,https://en.wikipedia.org/wiki/Chengdu_Tianfu_International_Airport,
302314,ZUTR,medium_airport,Tongren Fenghuang Airport,27.883333,109.308889,,AS,CN,CN-52,Tongren (Daxing),yes,ZUTR,TEN,ZUTR,,,https://en.wikipedia.org/wiki/Tongren_Fenghuang_Airport,
27230,ZUUU,large_airport,Chengdu Shuangliu International Airport,30.558257,103.945966,1625,AS,CN,CN-51,Chengdu (Shuangliu),yes,ZUUU,CTU,ZUUU,,http://www.cdairport.com/cdairport/en_front/index.jsp,https://en.wikipedia.org/wiki/Chengdu_Shuangliu_International_Airport,成都双流国际机场
350117,ZUWL,medium_airport,Chongqing Xiannüshan Airport,29.465658,107.693664,1747,AS,CN,CN-50,Wulong,yes,ZUWL,CQW,ZUWL,,,https://en.wikipedia.org/wiki/Chongqing_Xiannüshan_Airport,
336105,ZUWS,small_airport,Chongqing Wushan Airport,31.06896,109.708958,,AS,CN,CN-50,Wushan,yes,ZUWS,WSK,ZUWS,WSK,,https://en.wikipedia.org/wiki/Chongqing_Wushan_Airport,
32688,ZUWX,small_airport,Wanzhou Wuqiao Airport,30.8017,108.433,,AS,CN,CN-50,Wanzhou,yes,ZUWX,WXN,ZUWX,,,https://en.wikipedia.org/wiki/Wanzhou_Airport,
27231,ZUXC,medium_airport,Xichang Qingshan Airport,27.9891,102.183998,5112,AS,CN,CN-51,Liangshan (Xichang),yes,ZUXC,XIC,ZUXC,,,https://en.wikipedia.org/wiki/Xichang_Qingshan_Airport,
336111,ZUYB,medium_airport,Yibin Wuliangye Airport,28.858431,104.526157,1378,AS,CN,CN-51,Yibin (Cuiping),yes,ZUYB,YBP,ZUYB,YBP,,https://en.wikipedia.org/wiki/Yibin_Wuliangye_Airport,
301647,ZUYI,medium_airport,Xingyi Wanfenglin Airport,25.083423,104.960804,4150,AS,CN,CN-52,Xingyi,yes,ZUYI,ACX,ZUYI,,,https://en.wikipedia.org/wiki/Xingyi_Wanfenglin_Airport,
308403,ZUZY,medium_airport,Zunyi Xinzhou Airport,27.810723,107.247189,2723,AS,CN,CN-52,Zunyi,yes,ZUZY,ZYI,ZUZY,,,https://en.wikipedia.org/wiki/Zunyi_Xinzhou_Airport,
46650,ZWBL,medium_airport,Bole Alashankou Airport,44.895461,82.30007,1253,AS,CN,CN-65,Bole,yes,ZWBL,BPL,ZWBL,,,https://en.wikipedia.org/wiki/Bole_Alashankou_Airport,
31684,ZWCM,medium_airport,Qiemo Yudu Airport,38.234516,85.465462,,AS,CN,CN-65,Qiemo,yes,ZWCM,IQM,ZWCM,,,https://en.wikipedia.org/wiki/Qiemo_Yudu_Airport,"Cherchen, Qarqan"
323219,ZWFY,medium_airport,Fuyun Koktokay Airport,46.804169,89.512006,3081,AS,CN,CN-65,Fuyun,yes,ZWFY,FYN,ZWFY,,,https://en.wikipedia.org/wiki/Fuyun_Koktokay_Airport,
31609,ZWHM,medium_airport,Hami Airport,42.8414,93.669197,2703,AS,CN,CN-65,Hami,yes,ZWHM,HMI,ZWHM,,,https://en.wikipedia.org/wiki/Hami_Airport,"Kumul, Qumul"
316764,ZWHZ,small_airport,Shihezi Huayuan Airport,44.2421,85.8905,1700,AS,CN,CN-65,Shihezi,yes,ZWHZ,SHF,ZWHZ,,,https://en.wikipedia.org/wiki/Shihezi_Huayuan_Airport,
31731,ZWKC,small_airport,Kuqa Qiuci Airport,41.677856,82.872917,3524,AS,CN,CN-65,Kuqa,yes,ZWKC,KCA,ZWKC,,,https://en.wikipedia.org/wiki/Kuqa_Qiuci_Airport,Kucha
31771,ZWKL,medium_airport,Korla Licheng Airport,41.614979,86.140817,3041,AS,CN,CN-65,Korla,yes,ZWKL,KRL,ZWKL,,,https://en.wikipedia.org/wiki/Korla_Licheng_Airport,
35310,ZWKM,small_airport,Karamay Airport,45.46655,84.9527,,AS,CN,CN-65,Karamay,yes,ZWKM,KRY,ZWKM,,,https://en.wikipedia.org/wiki/Karamay_Airport,
313426,ZWKN,medium_airport,Burqin Kanas Airport,48.2223,86.9959,3921,AS,CN,CN-65,Burqin,yes,ZWKN,KJI,ZWKN,,,https://en.wikipedia.org/wiki/Kanas_Airport,
316548,ZWNL,medium_airport,Xinyuan Nalati Airport,43.4318,83.3786,3050,AS,CN,CN-65,Xinyuan,yes,ZWNL,NLT,ZWNL,,,https://en.wikipedia.org/wiki/Xinyuan_Nalati_Airport,
333070,ZWRQ,medium_airport,Ruoqiang Loulan Airport,38.974722,88.008333,2916,AS,CN,CN-65,Ruoqiang Town,yes,ZWRQ,RQA,ZWRQ,,,https://en.wikipedia.org/wiki/Ruoqiang_Loulan_Airport,
27234,ZWSH,medium_airport,Kashgar Laining International Airport,39.5429,76.019997,4529,AS,CN,CN-65,Kashgar,yes,ZWSH,KHG,ZWSH,,,https://en.wikipedia.org/wiki/Kashgar_Laining_International_Airport,Kashi Airport
32406,ZWSS,medium_airport,Shanshan Airport,42.911701,90.247498,,AS,CN,CN-65,Shanshan,no,ZWSS,SXJ,ZWSS,,,https://en.wikipedia.org/wiki/Shanshan_Airport,
